MT-TF	TrnF,RF00005,TRNF,TRNA,MTTF
PEBP1P1	PBPP1
WASF2	WAVE2,SCAR2,DJ393P12.2,WASF4,IMD2
RPL23	RpL17,L23
SHLD2P2	FAM35A2,FAM35AP,FAM35CP
S100A11P8	--
SPANXN5	SPANX-N5,CT11.10
LINC01550	C14orf64,NONHSAG015852.2,HSALNG0103588,HSALNG0103594,LINC01550
EIF4A2P4	--
SSX8P	SSX8
PPIHP2	--
QTRT1P1	--
RNU1-57P	--
RN7SL93P	--
SNORD30	U30,RNU30,SNODB203,RF00088,SNORD30
XACT	NONHSAG055125.2,NONHSAG055128.2,NONHSAG055124.2,HSALNG0139589,HSALNG0141630,Lnc-IL13RA2-8,SNORD3L5,XACT
RD3L	TDRD9AS1,TDRD9-AS1
UBE2A	HHR6A,RAD6A,UBC2,HR6A,MRXS30,MRXSN
SUSD3	MGC26847
TRAF3	CAP-1,CRAF1,LAP1,CD40bp,RNF118,CAP1,CD40BP,IIAE5
ZNF726	ZNF92P3
RPL12P13	--
USP35	KIAA1372,USP34
HAUS2	HsT17025,C15orf25,CEP27,FLJ10460,Cep27
ZDHHC18	DKFZp667O2416,DHHC-18,DHHC18
CRB2	FLJ38464,FLJ16786,FSGS9,VMCKD
GMIP	ARHGAP46
PPP1R1B	DARPP-32,FLJ20940,DARPP32
CACNG2	Stargazin,MGC138502,MGC138504,MRD10
SLC5A4	SAAT1,SGLT3,DJ90G24.4
LINC01648	NONHSAG000869.2,HSALNG0002146,LINC01648
SLC9A1	PPP1R143,APNH,NHE1,NHE-1,LIKNS,APNH1
ZNF451	COASTER,DJ417I1.1,KIAA0576,KIAA1702
ZBTB34	KIAA1993,ZNF918,MGC24652
LARGE1	KIAA0609,LARGE,Like-Acetylglucosaminyltransferase,Like-Glycosyltransferase,MDDGA6,MDDGB6,MDC1D
UBAC1	GBDR1,KPC2,UBADC1
RPL31P2	DJ553F4.5,RPL31_25_1695
ZNF341-AS1	NONHSAG031636.2,HSALNG0129673,ZNF341-AS1
CHMP4B	SNF7-2,DJ553F4.4,C20orf178,VPS32B,Shax1,HVps32-2,Vps32-2,HSnf7-2,CTRCT31,CHMP4A,CHMP4b,CTPP3,SHAX1,SNF7
SILC1	LINC01105,LOC150622,FLJ30594,NONHSAG026890.2,HSALNG0012685
TMEM121	TMEM121A,Hole,MGC4659,HHOLE
POLI	RAD30B,RAD3OB,Eta2
ASPG	C14orf76,Lysophospholipase-Transacylase,60-KDa-Lysophospholipase,GPA/WT,LYSOLP,LysoLP
LINC02720	NONHSAG009203.2,HSALNG0086015,Lnc-TENM4-4
CCT5	KIAA0098,TCP-1-Epsilon,CCT-Epsilon,CCTE,HEL-S-69,PNAS-102
RN7SL666P	--
PIGHP1	--
PAEPP1	--
PPIAP21	DJ269M15.1,PPIAL
LHX2	HLhx2,LH-2,LH2
NEAT1	MENepsilon/Beta,LINC00084,TncRNA,VINC,NCRNA00084,NONHSAG008670.2,HSALNG0084892,NEAT1
SNAPC5	SNAP19
L3MBTL1	DJ138B7.3,KIAA0681,ZC2HC3,L3MBTL,DKFZp586P1522,L(3)Mbt-Like,H-L(3)MBT,H-L(3)Mbt,L3MBT
MIR766	Hsa-Mir-766,Hsa-MiR-766-5p,Hsa-MiR-766-3p,MIRN766,MIMAT0022714,MIMAT0003888,MI0003836,Mir-766
CBX1P4	--
MIR4768	Hsa-Mir-4768,MIMAT0019921,MIMAT0019920,MI0017409
ANKIB1	KIAA1386,DKFZP434A0225
NHS-AS1	NONHSAG054104.2,HSALNG0136856,NHS-AS1
CHP1P3	--
SCML1	--
UBTFL10	--
PHBP2	--
FZD4-DT	NONHSAG009285.2,HSALNG0086260,HSALNG0086264,Lnc-PRSS23-1
LINC01249	NONHSAG026875.2,HSALNG0012627,LINC01249
FGF3	HBGF-3,INT2,FGF-3
SMAGP	HSMAGP,MGC149453,MGC149454
BCAS2P1	--
HS1BP3-IT1	NONHSAG027167.2,HSALNG0013448,HS1BP3-IT1
TRIM51EP	--
LRATD1	NSE1,FAM84A,FLJ35392,PP11517
CDC14B	Cdc14B1,Cdc14B2,CDC14B3,HCDC14B
WHAMMP3	WHAMML1,WHDC1L1
CDC42EP2	BORG1,CEP2
TFPI2	TFPI-2,PP5,REF1
TRIM53BP	TRIM53B,TRIM53L,TRIM80P,TRIM53L1
LINC00506	NONHSAG035511.2,HSALNG0027226,Lnc-CHMP2B-1
OR2AT2P	--
NOX5	NOX5A,NOX5B
DDHD2	KIAA0725,SAMWD1,SPG54,IPLA(1)Gamma,IPLA1gamma,KIAA0725p,IPLA1γ
RCE1	FACE2,FACE-2,HRCE1,RCE1A,RCE1B
PROS2P	PROS2,PROSP
SNRPEP7	--
CACNA2D3-AS1	NONHSAG035220.2,HSALNG0026282,CACNA2D3-AS1
RPL23AP75	RPL23A_32_1546
TTC32-DT	HSALNG0013389,Lnc-RHOB-17
ID2-AS1	NONHSAG026939.2,HSALNG0012846,HSALNG0012849,ID2-AS1
CYP46A1	CYP46,CH24H,CP46
LDLRAP1	ARH,FHCB1,FHCB2,ARH2,DKFZp586D0624,MGC34705,FHCL4,ARH1
TP53TG3GP	--
BNIP3P38	--
ZNF730	--
CDH8	Cadherin-8,Nbla04261
AVIL	P92,ADVIL,DOC6,FLJ12386,NPHS21
STEAP2	STAMP1,PCANAP1,STMP,IPCA-1,PUMPCn,IPCA1
CDKN2AIPNLP2	--
LINC02841	NONHSAG025443.2,CTD-2050I18.1,HSALNG0125328,Lnc-ZNF507-8
ZNF849P	--
RN7SL832P	--
IPO5P1	--
ZNF506	DKFZp761G1812
ASAP2	PAP,KIAA0400,CENTB3,SHAG1,DDEF2,PAG3,Pap-Alpha,AMAP2
NHS	CTRCT40,SCML1,CXN
RNF207-AS1	NONHSAG000231.2,HSALNG0000507,Lnc-ICMT-1
NKX3-2	NKX3B,NKX3.2,BAPX1,SMMD
TENT5B	FAM46B,MGC16491,FAM46
DIPK1C	C18orf51,FAM69C
MORF4L2P1	MRG4,MORF4LP4
TIMM21	TIM21,C18orf55,HSPC154
COMMD8	FLJ20502
CDRT15L2	--
LINC01785	NONHSAG025317.2,HSALNG0124987,LINC01785
HAPLN4	BRAL2,KIAA1926
RPGR	CORDX1,RP3,XLRP3,COD1,RP15,CRD,Orf15,PCDX
CHST1	KSGal6ST,C6ST,GST-1,KS6ST,KSST
HMGCL	HL,Hydroxymethylglutaricaciduria
NOS2P3	--
RPL34P34	RPL34_15_1639
FAM114A1	Noxp20,NOXP20
GOLGA2P9	--
NPM1P50	--
LINC02748	NONHSAG009346.2,Lnc-NAALAD2-4,HSALNG0086393
GJD3	GJA11,CX31.9,Cx30.2,GJC1,Connexin-31.9,Cx31.9
MS4A19P	--
LGMN	LGMN1,PRSC1,AEP
RN7SL551P	--
RPS3AP40	RPS3A_19_1151
DPY19L3-DT	NONHSAG025455.2,Lnc-ANKRD27-2,HSALNG0125370,HSALNG0125369
C18orf63	DKFZP781G0119
MTDHP3	--
TRIM64	C11orf28,TRIM64A
FBXL20	Fbl20,Fbl2,MGC15482,FBL2
UQCRFS1-DT	NONHSAG025403.2,NONHSAG025404.2,HSALNG0125191,Lnc-VSTM2B-5,CTB-32O4.2,CTB-32O4.3,CTB-32O4.4
SMTN	SMSMO
ZNF725P	ZNF725
ZNF728	--
NARS2	SLM5,FLJ23441,DFNB94,AsnRS
HOXC4	HOX3E,HOX3,Cp19
VN1R83P	--
LINC01532	NONHSAG025402.2,CTD-2081K17.2,HSALNG0125177,LINC01532
FAUP1	FAU1P,RPS30_2_1613
CYB5A	CYB5,MCB5,METAG
TP73-AS2	RP5-1092A11.2,NONHSAG000194.2,HSALNG0000341,Lnc-WRAP73-3
SDC3	SYND3,N-Syndecan,Syndecan-3,KIAA0468,SDCN
KRT125P	--
KLF17P1	--
CDK8P1	CDK8PS
CDH12	Br-Cadherin,CDHB,Cadherin-12,Brain-Cadherin,BR-Cadherin
TRGV7	TCRGV7,V1S7P
NDUFA5P9	--
NDUFA4L2	NUOMS,COXFA4L2,FLJ26118,MISTRH
LINC02171	NONHSAG037351.2,HSALNG0032482,LINC02171
LINC00680	HSALNG0050864,HSALNG0141620
BNIP3P37	--
RPL36AP51	RPL36A_25_1638
PIK3CD-AS1	C1orf200,PIK3CD-AS1
ELAPOR2	EIG121L,KIAA1324L,EIG121-Like,FLJ31340,HEIG121L
CEBPG	IG/EBP-1,GPE1BP
STX18-AS1	LOC100507266,NONHSAG037368.2,NONHSAG037370.2,HSALNG0032541,HSALNG0032557,HSALNG0032556,HSALNG0032545,HSALNG0032543,STX18-AS1
PIK3CDP1	--
CHCHD3P3	--
GPATCH3	GPATC3,FLJ12455
GSTA12P	GSTAP5
FAAP24	C19orf40,FLJ46828,MGC32020
OR5BK1P	--
YWHAQ	14-3-3,HS1,1C5
LCMT1	CGI-68,PPMT1,LCMT
RPS10	S10,MGC88819,DBA9
PAFAH2	HSD-PLA2,SD-PLA2
BTBD10P1	--
KRT4	CYK4,K4,CK4,CK-4,Cytokeratin-4,Keratin-4,WSN1
LHX3	M2-LHX3,CPHD3,LIM3
ADAM5	TMDCII,ADAM5P,TMDC2
OR7E85P	OR7E88P,OR7E118P
RPL19P11	RPL19_6_547
LINC02104	NONHSAG040243.2,HSALNG0041325,CTD-2078B5.2,LINC02104
DTNA	DRP3,D18S892E,DTN,DTN-1,DTN-2,DTN-3,DTN-A,Alpha-Dystrobrevin,LVNC1
SALRNA2	XLOC_025931,SAL-RNA2,HSALNG0106960,SALRNA2
TAF11L5	HCG1809904,TAF11L10,TAF11L6,TAF11L8
TSHZ3	TSH3,KIAA1474,ZNF537
RPL35AP32	RPL35A_12_1446
LINC02505	NONHSAG037745.2,HSALNG0033804,LINC02505
NSA2	TINP1,HUSSY-29,HCLG1,FLJ94393,HUSSY29,CDK105,HCL-G1
SKOR1	FUSSEL15,CORL1,LBXCOR1,Fussel-15
BNIP3P41	--
SLAIN2	KIAA1458,FLJ21611
POLD3	KIAA0039,PPP1R128,P66,P68
RSL24D1P5	--
NTSR2	NTR2,NT-R-2
RESF1	KIAA1551,C12orf35,UTA2-1,GET,FLJ20696,FLJ10652
EIF6	B(2)Gcn,ITGB4BP,P27BBP,EIF3A,P27(BBP),EIF-6,CAB
MOB3B	C9orf35,MOBKL2B,MOB1D,FLJ13204
BIN2P2	--
LINC00954	FLJ12334,NONHSAG027140.2,HSALNG0013382,HSALNG0013383,LINC00954
HMGB1P47	--
FAM169A	SLAP75,KIAA0888
NR6A1	RTR,GCNF1,CT150,GCNF,HGCNF,HRTR,NR61
SLC27A1	ACSVL5,FATP1,FATP,MGC71751,FLJ00336,FATP-1
SRSF10	SRrp40,PPP1R149,SFRS13A,SFRS13,FUSIP1,FUSIP2,TASR1,TASR2,SRp38,TASR,NSSR
ZNF141	PHZ-44,D4S90
THAP10	--
GUSBP4	SMA3-L,FLJ13549,C6orf216,GUSBL2,SMAC3L,XXbac-BPGBPG55C20.2
GSTA7P	GSTAP6,GSTAP2
NPM1P38	--
APOB	ApoB-100,ApoB-48,LDLCQ4,FCHL2,FLDB
VN1R70P	--
PRDM1	PRDI-BF1,BLIMP1,BLIMP-1
SHCBP1	PAL,FLJ22009
CORO2B	KIAA0925,Coronin-2B,ClipinC,Clipin-C,CLIPINC
KRTAP4-3	KAP4.3,KRTAP4.3
IL22	IL-TIF,ILTIF,IL-22,TIFIL-23,Zcyto18,IL-D110,IL-21,TIFa,Interleukin-22,MGC79382,MGC79384,ZCYTO18
BOD1L1	KIAA1327,FAM44A,BOD1L,FLJ33215
RPS4XP20	RPS4P20,RPS4X_9_1648
MIEN1	XTP4,C17orf37,ORB3,C35,MGC14832,Rdx12,RDX12
ADAM28	EMDCII,ADAM23,MDC-Lm,MDC-Ls,MDC-L,MDCL
COQ7	CLK-1,CAT5,COQ10D8,CLK1
PCNA	Cyclin,ATLD2
HAUS6P3	--
TPM1-AS	TPM1-AS1,NONHSAG017120.2,HSALNG0141627,TPM1-AS
FBXO47	--
PPP1R9A	Neurabin-I,KIAA1222,Neurabin-1,FLJ20068,NRB1,NRBI
PLEKHO2	PLEKHQ1,PP1628,Pp9099,DKFZp761K2312
FGF10	FGF-10
PDCD2L	MGC13096
WDTC1	KIAA1037,DCAF9,ADP
METTL7AP1	--
LINC00637	LINC00637,HITT,HSALNG0104041
KRT8P39	--
CCNK	CPR4,Cyclin-K,IDDHDF
VTI1BP3	--
LINC02400	NONHSAG010921.2,HSALNG0090527,LINC02400
PDZRN4	LNX4,IMAGE5767589,DKFZp434B0417,FLJ33777,SAMCAP3L,SEMCAP3L
C2CD4A	NLF1,FAM148A
MAP3K1	MAPKKK1,MEKK1,MEKK,SRXY6
CYP4F23P	--
FKBP10	FKBP65,HFKBP65,FLJ22041,FLJ20683,FLJ23833,Rotamase,FKBP-10,FKBP-65,FKBP6,PPIASE,BRKS1,OI11,OI6
FOXB1	FKH5,HFKH-5
CDS2	--
KNSTRN	Kinastrin,TRAF4AF1,SKAP,C15orf23,FLJ14502,ROCHIS,HSD11
PPIAP58	--
DUSP18	DUSP20,LMWDSP20,LMW-DSP20,DSP18
MRFAP1L1	MGC9651,PP784
LINC01533	NONHSAG025448.2,NONHSAG025450.2,HSALNG0125351,HSALNG0125353,Lnc-ZNF507-3,CTC-360P9.3,LINC01533
BEND4	CCDC4,FLJ35632,FLJ43965
RPSAP9	LAMR1P9,RPSA_20_986
CCND1	U21B31,PRAD1,BCL1,D11S287E,BCL-1
LINC02800	NONHSAG000687.2,HSALNG0001696,Lnc-GRHL3-1
CTSLP8	CTSL1P8
STOM	BND7,EPB72,EPB7
MAPKAPK3	MK-3,MAPKAP3,3pK,MK3,MAPKAP-K3,MAPKAPK-3,3PK,MDPT3
LINC01834	NONHSAG025431.2,HSALNG0125296,LINC01834
OSMR-AS1	NONHSAG040233.2,HSALNG0041285,Lnc-RICTOR-54,HSALNG0041295,HSALNG0041294,CTD-2127H9.1,OSMR-AS1
LINC00663	MGC39821,NONHSAG025200.2,HSALNG0124755,CTC-559E9.1,LINC00663
ARHGAP8	BPGAP1,FLJ20185,PP610
PARK7P1	--
VN1R92P	--
FAM86EP	--
MED21	SRB7,SURB7,HSrb7
CHST8	GALNAC-4-ST1,GalNAc4ST-1,GalNAc-4-ST1,GALNAC4ST1,GalNAc4ST,PSS3
NUDT3	DIPP,DIPP-1,DIPP1
DHDDS	HDS,RP59,HCIT,DS,Cis-Isoprenyltransferase,Cis-IPTase,FLJ13102,CIT,DEDSM,CPT
RAB3C	--
GSG1L	PRO19651,KTSR5831,MGC18079
F8A3	HAP40
FAM47C	--
RUNX2-AS1	NONHSAG043865.2,HSALNG0050327,RUNX2-AS1
CLBA1	C14orf79
PHF6	CENP-31,KIAA1823,MGC14797,BFLS,BORJ
UBE2D3P1	RP4-680N4,UBE2D3P,UBE2D5P,UBE2D3L
PROKR2	GPR73b,GPRg2,PKR2,DJ680N4.3,GPR73L1,PK-R2,KAL3,HH3
PAQR8	LMPB1,MPRB,C6orf33
RNA5-8SP7	RN5-8S7
LINC00658	NONHSAG031198.2,HSALNG0128395,HSALNG0128396,HSALNG0128400,HSALNG0128398,LINC00658
MRPS30-DT	BRCAT54,NONHSAG040329.2,HSALNG0041561,HSALNG0041549,MRPS30-DT
LINCMD1	MIR133BHG,LINC-MD1,NONHSAG043927.2,HSALNG0050599,LINCMD1
GLYATL3	BA28H17.2,C6orf140
ZNF723	ZNF723P
ZNF302	ZNF135L,ZNF140L,ZNF327,MSTP154,MST154,HSD16
TAF1D	TAF(I)41,JOSD3,MGC5306,TAFI41,RAFI41
TDRG1	LincRNA-NR_024015,LINC00532,NONHSAG043741.2,HSALNG0049949,HSALNG0049948,Lnc-DAAM2-9
BRI3P2	--
SYK	P72-Syk,IMD82
C5orf34	FLJ32363
ZMAT4	FLJ13842
RPS25P3	RPS25_1_198
DPY19L2	SPATA34,FLJ32949,SPGF9
KLHL29	KIAA1921,KBTBD9
CD109	CPAMD7,DKFZp762L1111,FLJ38569,P180,R150
APBB2	FE65L1,FE65L,MGC35575,Fe65-Like
SETD3	C14orf154,FLJ23027,HSETD3
LINC01566	NONHSAG019300.2,HSALNG0111095,LINC01566
HNRNPA1P48	--
RPL10AP6	RPL10A_1_376
CWC27	SDCCAG-10,NY-CO-10,SDCCAG10,RPSKA
DYNLRB1	DNLC2A,ROBLD1,DNCL2A,BITH,BLP
LINC00919	NONHSAG019457.2,HSALNG0111442,LINC00919
SLC6A4	5-HTT,SERT1,HTT,5HTT,OCD1,SERT,5-HTTLPR,HSERT
ARL6	RP55,BBS3
PABPC1L2B	RBM32B,PABPC1L2,RBM32A
NPIPB2	--
CRISPLD1	LCRISP1,DKFZp762F133,Cocoacrisp,CocoaCrisp,CRISP-10,CRISP10
STAG2	SA2,SCC3B,SA-2,BA517O1.1,NEDXCF,HPE13,MKMS
HADHA	LCHAD,LCEH,MTPA,GBP,HADH,TP-ALPHA,TP-Alpha,ECHA
LINC02192	NONHSAG019364.2,HSALNG0111213,LINC02192
UBA52P8	RPL40_3_1481
ZC3H7A	HSPC055,ZC3HDC7,ZC3H7,FLJ20318
SNX5	--
GOLPH3-DT	NONHSAG040137.2,HSALNG0040984,Lnc-PDZD2-1
LINC00603	NONHSAG040246.2,HSALNG0041347,LINC00603
LINC01331	NONHSAG040725.2,HSALNG0042670,LINC01331
HNRNPA1P45	--
OR11J2P	--
VGLL3	VGL-3,Vgl-3,VGL3
EMB	MGC71745,GP70
LCTL	KLPH,KLG,FLJ33279
LARP4	PP13296
HIP1	ILWEQ,HIP-I,SHONgamma,SHONbeta,HIP-1,SHON
APOBEC3H	ARP10,ARP-10,A3H
GBE1	APBD,GSD4,GBE
PICALM	CALM,CLTH,LAP
LINC00906	NONHSAG025398.2,CTD-2081K17.1,HSALNG0125173,Lnc-VSTM2B-7,LINC00906
CEP162	KIAA1009,QN1,C6orf84,Cep162
LINC02317	NONHSAG015693.2,HSALNG0103133,LINC02317
LINC02199	NONHSAG039801.2,HSALNG0040027,HSALNG0040030,LINC02199
RPL17P17	RPL17_9_379
VDAC3P1	VDAC3P
MESTP2	--
ELOVL7	FLJ23563
GLRXP2	--
ETV2	ER71,ETSRP71
GCHFR	GFRP,HsT16933,P35
MTCO2P6	--
R3HCC1	DKFZp564N123
HNRNPA3P8	--
HMGB1P38	--
FANCC	FAC,FACC,FA3
DOCK3	MOCA,PBP,KIAA0299,NEDIDHA
AHNAK2	C14orf78,KIAA2019
CA12	HsT18816,CA-XII,T18816,CAXII
LL22NC01-81G9.3	NONHSAG033851.2,HSALNG0135262,Lnc-CSF2RB-1
TEX33	EAN57,C22orf33,MGC35206,CE81G9.2
CINP	MGC849
MMP2	TBE-1,CLG4A,MMP-2,CLG4,MMP-II,MONA
SFN	YWHAS,HME1
TBC1D3P5	--
SUCLG2P4	--
SUMO2P4	--
FOXA2	HNF3B,HNF-3-Beta,TCF3B,HNF-3B,TCF-3B
DHX29	DDX29
FLJ31356	NONHSAG027351.2,Lnc-TRMT61B-5,HSALNG0013864,HSALNG0013866,HSALNG0013868
MPST	TST2,MST,TUM1
SNRPEP5	--
COMMD7	DJ1085F17.3,C20orf92
LINC02850	NONHSAG027173.2,HSALNG0013469,Lnc-GDF7-2
MSL1	MSL-1,DKFZp686P24239,HMSL1,MSL1L1
DCDC2C	--
RPL5P4	RPL5_1_31
NEFM	NF-M,NFM,NEF3
TTC7B	TTC7L1,C14_5685
CEBPA	C/EBP-Alpha,CEBP
RPL36AP13	RPL36A_3_200
LINC01810	NONHSAG026888.2,HSALNG0012682,LINC01810
SERINC2	PRO0899,FKSG84,TDE2L,TDE2
PAK5	KIAA1264,PAK7,PAK-5,PAK-7
MYCNUT	LncUSMycN,MYCNUN,NONHSAG027074.2,HSALNG0013204,MYCNUT
GACAT3	LncRNA-AC130710,LINC01458,NONHSAG027080.2,HSALNG0013215,GACAT3
GXYLT2	GLT8D4
SOX11	MRD27,CSS9
UCN	UROC,UI,Prepro-Urocortin
PEX2	PMP35,RNF72,PAF-1,PXMP3,ZWS3,PAF1,PMP3,Peroxin-2,PBD5A,PBD5B
RNU6-900P	--
C22orf23	EVG1,FLJ32787,LOC84645,DJ1039K5.6
KCNK3	TASK1,TASK,K2p3.1,TASK-1,TBAK1,OAT1,PPH4
PRICKLE2-AS1	NONHSAG035321.2,HSALNG0026560,HSALNG0026563,Lnc-ATXN7-27
LINC01611	TCONS_l2_00025430,RP1-90L14.1,NONHSAG044263.2,HSALNG0051652,LINC01611
ICE2P2	NARG2P2
ID2B	--
POLR1F	TWISTNB,RPA43,A43
SPATS1	SPATA8,SRSP1,FLJ25442,DDIP
GNRH2	Progonadoliberin-2,Gonadoliberin-2,GnRH-II,LH-RHII
IQCH-AS1	NONHSAG017245.2,HSALNG0106756,IQCH-AS1
MAPRE3	RP3,EB3,EBF3,EBF3-S
FBXL2	FBL2,FBL3
GUSBP6	--
ZC2HC1A	C8orf70,FAM164A,CGI-62
FBXO24	FBX24
TMCO5B	--
CDRT15P2	CDRT15L1
NEK4P2	--
LINC01563	NONHSAG021189.2,HSALNG0115246,LINC01563,HP08942
BANF2	BAF-L,BAFL,C20orf179,BAF2,DJ803K15.1
RARA-AS1	NONHSAG021742.2,CTD-2267D19.2,HSALNG0116345,RARA-AS1
POLR2F	HRBP14.4,RPB6,RPABC14.4,RPB14.4,POLRF,RPC15,RPABC2
PXDNL	PMR1,FLJ25471,PRM1,VPO2
INO80-AS1	ENST00000560178,NONHSAG016631.2,HSALNG0105327,INO80-AS1
IFITM3P3	--
MAP2K5-DT	NONHSAG017250.2,HSALNG0106761,Lnc-AAGAB-3
DMKN	ZD52F10,UNQ729
KIF6	DJ1043E3.1,DJ137F1.4,DJ188D3.1,C6orf102,DKFZp451I2418,MGC33317
MYO1E	MYO1C,HuncM-IC,MGC104638,Myosin-IC,Myosin-Ic,FSGS6
RARA	NR1B1,RAR,RAR-Alpha
CTSZ	CTSX
TRMT112P2	--
RPSAP38	RPSA_9_557
RPS17P11	RPS17_4_560
ITGA1	CD49a,VLA1,VLA-1
RPL3P4	--
PDCL3P1	--
RPL13AP3	RPL13A_11_1370
DIO3	TXDI3,DIOIII,5DIII,ITDI3,D3
CASC16	LOC643714,LINC00918,NONHSAG019462.2,HSALNG0111460,CASC16
SPIN1	TDRD24,SPIN,Spindlin-1,Spindlin1,Spindlin,OCR
AJAP1	SHREW1,MOT8,SHREW-1
LINC02298	NONHSAG016089.2,HSALNG0104190,LINC02298
TMEM68	FLJ32370
GPR68	OGR1,GPR12A,AI2A6,OGR-1
ZNF618	KIAA1952,NEDD10,FP13169
MIR6820	Hsa-Mir-6820,MIMAT0027541,MIMAT0027540,MI0022665
DDC-AS1	NONHSAG047572.2,HSALNG0057957,Lnc-IKZF1-16
SOX10	WS2E,DOM,WS4,PCWH,WS4C
FAM161B	C14orf44,FLJ31697,C14_5547
PTAFR	PAF-R,PAFR,PAFr
NPM1P48	--
CICP17	--
SRD5A2	--
PDAP1	HASPP28,PAP1,PAP
MBOAT2	OACT2,FLJ14415,FLJ90298,LPCAT4,LPAAT,LPCAT,LPEAT
OR7E105P	OR14-NP1
MIR4534	Hsa-Mir-4534,MIMAT0019073,MI0016901
VN1R35P	--
AP1S2P1	--
PICK1	PRKCABP,DJ1039K5,MGC15204,PICK
RPS3AP26	RPS3A_11_824
PON3	Paraoxanase-3
IRF2BPL	EAP1,KIAA1865,C14orf4,NEDAMSS
PACSIN1	SDPI,Syndapin-1,KIAA1379
CRIP1	CRIP,CRP-1,CRHP,CRP1,HCRHP
GEMIN8P1	FAM51A2P,GEMIN8P
TIPIN	FLJ20516
SECISBP2	SBP2
OSR1	ODD
IGLV8OR8-1	IGLV8/OR8-1,IGLV8OR81
PKIA	PRKACN1,PKI-Alpha
IGHV5-10-1	IGHV5-A,IGHV5A
OCIAD2	MGC45416
LINC00239	NCRNA00239,C14orf72,NONHSAG015958.2,HSALNG0103853,LINC00239
LINC02312	HSALNG0103575,LINC02312
SPESP1	SP-ESP,ESP
NUTF2P8	--
DEGS2	C14orf66,FADS8,DES2
LINC00276	NCRNA00276,NONHSAG027049.2,HSALNG0013141,HSALNG0013136,LINC00276
WDCP	C2orf44,MMAP,FLJ21945,PP384
TUBBP1	--
HNRNPMP1	--
RPL3P9	RPL3_6_918
SRSF3	SRp20,SFRS3,SRP20
RPL26P19	RPL26_4_565
KCNK13	THIK-1,K2p13.1,THIK1
SERPINE1	PAI,PLANH1,PAI1,PAI-1
IGHV3-32	IGHV332,3-32P
LOXL1-AS1	NONHSAG017388.2,HSALNG0107133,HSALNG0107136,LOXL1-AS1
TTC32	--
RNU2-52P	--
TOP1	TOPI
ZFHX4	ZFH4,FLJ20980,ZFH-4,ZHF4
RPL23AP11	RPL23A_29_1408
LINC02758	NONHSAG007926.2,Lnc-METTL15-3,HSALNG0083354
LINC02584	NCRNA00224,ANO1-AS2,C11orf78,NONHSAG008906.2,HSALNG0085408,LINC02584
XIAPP2	--
PDE4D	DPDE3,PDE43,ACRDYS2,HSPDE4D,PDE4DN2,STRK1
MTND1P2	--
PIWIL4	HIWI2,FLJ36156,Miwi2,MIWI2,PIWI
DPYSL5	CRMP-5,CRMP5,CRAM,Ulip6,CV2,ULIP-6,DRP-5,ULIP6
VSTM2A-OT1	NONHSAG047610.2,GS1-18A18.1,VSTM2A-OT1
KRT8P9	--
HINT1P2	--
RBM22P3	--
TDP1	FLJ11090,SCAN1
STEAP2-AS1	NONHSAG048159.2,HSALNG0059440,STEAP2-AS1
EWSAT1	NCRNA00277,LINC00277,FLJ33768,TMEM84,NONHSAG017276.2,HSALNG0106834,EWSAT1
PON1	ESA,PON,K-45,MVCD5
CFAP206	DJ382I10.1,C6orf165,FLJ25974
GOLGA2P11	FLJ38723
KRTAP4-17P	KRTAP4p3
KRT17	Cytokeratin-17,CK-17,PCHC1,39.1,K17,Keratin-17,PC2,PC
GANC	--
ADAMTSL2	KIAA0605,ADAMTSL-2,GPHYSD1
MTCO3P42	--
CCP110	CP110,KIAA0419,Cep110,CEP110
IRS3P	IRS3L
MRPL9P1	--
RBM47	NET18,FLJ20273
RWDD4P1	FAM28BP
HOXC-AS3	NONHSAG011265.2,HSALNG0091319,HOXC-AS3
CLVS1	CRALBPL,C6orf212L,RLBP1L1,Clavesin-1,MGC34646
HGF	HPTA,SF,F-TCF,HGFB,Hepatopoietin-A,DFNB39
CERS5	LASS5,Trh4,MGC45411,FLJ25304,CerS5
MTCO3P13	--
SNORD3B-2	U3-2B,U3b2,HSALNG0115090,HSALNG0115091,Lnc-SLC5A10-3,Lnc-GRAP-1,SNODB1600,SNODB1385,SNODB2026,SNODB1386,SNODB1772,SNODB451,SNODB448,RF00012,SNORD3@
FILIP1	FILIP,KIAA1275
PLCG1-AS1	TOP1-AS1,NONHSAG031790.2,HSALNG0130153,PLCG1-AS1
RNF135	Riplet,MGC13061,REUL,MMFD,L13
RPEP2	--
MIR6871	Hsa-Mir-6871,MIMAT0027642,MIMAT0027643,MI0022718
FCHSD2	KIAA0769,SH3MD3,Carom,NWK1,NWK
RPL23AP81	RPL23A_40_1702
RN7SL615P	--
SLC16A8	MCT3,REMP
MON1A	SAND1,MGC13272
RPS4XP2	DJ189G13.2,RPS4L2,RPS4P2,RPS4Y_2_1680
PRNP	AltPrP,CD230,PRIP,PRP,PrP33-35C,PrP27-30,P27-30,ASCR,CJD,GSS,PrP,ALTPRP,KURU,PrPc
GPR63	PSP24B,PSP24(Beta),PSP24-Beta,PSP24-2
RPL35P3	RPL35_2_728
RPL35P2	RPL35_1_683
PRDX2P4	--
PRND	PrPLP,DPL,DJ1068H6.4,DOPPEL
BAIAP2L2	Pinkbar,FLJ22582
HMGN2	HMG17
